item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
1,embed,local,1,a,none,none,girl,mother,saw,herself,The girl said that the mother saw herself . <eos>,The girl said that the mother saw herself .
1,embed,local,1,b,none,none,mother,girl,saw,herself,The mother said that the girl saw herself . <eos>,The mother said that the girl saw herself .
1,embed,local,1,a,nonlocal_subj,number,girls,mother,saw,herself,The girls said that the mother saw herself . <eos>,The girls said that the mother saw herself .
1,embed,local,1,b,nonlocal_subj,number,mothers,girl,saw,herself,The mothers said that the girl saw herself . <eos>,The mothers said that the girl saw herself .
1,embed,nonlocal,0,a,local_subj,number,girl,mothers,saw,herself,The girl said that the mothers saw herself . <eos>,The girl said that the mothers saw herself .
1,embed,nonlocal,0,b,local_subj,number,mother,girls,saw,herself,The mother said that the girls saw herself . <eos>,The mother said that the girls saw herself .
2,embed,local,1,a,none,none,girl,mother,established,herself,The girl said that the mother established herself . <eos>,The girl said that the mother established herself .
2,embed,local,1,b,none,none,mother,girl,established,herself,The mother said that the girl established herself . <eos>,The mother said that the girl established herself .
2,embed,local,1,a,nonlocal_subj,number,girls,mother,established,herself,The girls said that the mother established herself . <eos>,The girls said that the mother established herself .
2,embed,local,1,b,nonlocal_subj,number,mothers,girl,established,herself,The mothers said that the girl established herself . <eos>,The mothers said that the girl established herself .
2,embed,nonlocal,0,a,local_subj,number,girl,mothers,established,herself,The girl said that the mothers established herself . <eos>,The girl said that the mothers established herself .
2,embed,nonlocal,0,b,local_subj,number,mother,girls,established,herself,The mother said that the girls established herself . <eos>,The mother said that the girls established herself .
3,embed,local,1,a,none,none,girl,mother,devoted,herself,The girl said that the mother devoted herself . <eos>,The girl said that the mother devoted herself .
3,embed,local,1,b,none,none,mother,girl,devoted,herself,The mother said that the girl devoted herself . <eos>,The mother said that the girl devoted herself .
3,embed,local,1,a,nonlocal_subj,number,girls,mother,devoted,herself,The girls said that the mother devoted herself . <eos>,The girls said that the mother devoted herself .
3,embed,local,1,b,nonlocal_subj,number,mothers,girl,devoted,herself,The mothers said that the girl devoted herself . <eos>,The mothers said that the girl devoted herself .
3,embed,nonlocal,0,a,local_subj,number,girl,mothers,devoted,herself,The girl said that the mothers devoted herself . <eos>,The girl said that the mothers devoted herself .
3,embed,nonlocal,0,b,local_subj,number,mother,girls,devoted,herself,The mother said that the girls devoted herself . <eos>,The mother said that the girls devoted herself .
4,embed,local,1,a,none,none,girl,mother,considered,herself,The girl said that the mother considered herself . <eos>,The girl said that the mother considered herself .
4,embed,local,1,b,none,none,mother,girl,considered,herself,The mother said that the girl considered herself . <eos>,The mother said that the girl considered herself .
4,embed,local,1,a,nonlocal_subj,number,girls,mother,considered,herself,The girls said that the mother considered herself . <eos>,The girls said that the mother considered herself .
4,embed,local,1,b,nonlocal_subj,number,mothers,girl,considered,herself,The mothers said that the girl considered herself . <eos>,The mothers said that the girl considered herself .
4,embed,nonlocal,0,a,local_subj,number,girl,mothers,considered,herself,The girl said that the mothers considered herself . <eos>,The girl said that the mothers considered herself .
4,embed,nonlocal,0,b,local_subj,number,mother,girls,considered,herself,The mother said that the girls considered herself . <eos>,The mother said that the girls considered herself .
5,embed,local,1,a,none,none,girl,mother,identified,herself,The girl said that the mother identified herself . <eos>,The girl said that the mother identified herself .
5,embed,local,1,b,none,none,mother,girl,identified,herself,The mother said that the girl identified herself . <eos>,The mother said that the girl identified herself .
5,embed,local,1,a,nonlocal_subj,number,girls,mother,identified,herself,The girls said that the mother identified herself . <eos>,The girls said that the mother identified herself .
5,embed,local,1,b,nonlocal_subj,number,mothers,girl,identified,herself,The mothers said that the girl identified herself . <eos>,The mothers said that the girl identified herself .
5,embed,nonlocal,0,a,local_subj,number,girl,mothers,identified,herself,The girl said that the mothers identified herself . <eos>,The girl said that the mothers identified herself .
5,embed,nonlocal,0,b,local_subj,number,mother,girls,identified,herself,The mother said that the girls identified herself . <eos>,The mother said that the girls identified herself .
6,embed,local,1,a,none,none,girl,mother,made,herself,The girl said that the mother made herself . <eos>,The girl said that the mother made herself .
6,embed,local,1,b,none,none,mother,girl,made,herself,The mother said that the girl made herself . <eos>,The mother said that the girl made herself .
6,embed,local,1,a,nonlocal_subj,number,girls,mother,made,herself,The girls said that the mother made herself . <eos>,The girls said that the mother made herself .
6,embed,local,1,b,nonlocal_subj,number,mothers,girl,made,herself,The mothers said that the girl made herself . <eos>,The mothers said that the girl made herself .
6,embed,nonlocal,0,a,local_subj,number,girl,mothers,made,herself,The girl said that the mothers made herself . <eos>,The girl said that the mothers made herself .
6,embed,nonlocal,0,b,local_subj,number,mother,girls,made,herself,The mother said that the girls made herself . <eos>,The mother said that the girls made herself .
7,embed,local,1,a,none,none,girl,mother,found,herself,The girl said that the mother found herself . <eos>,The girl said that the mother found herself .
7,embed,local,1,b,none,none,mother,girl,found,herself,The mother said that the girl found herself . <eos>,The mother said that the girl found herself .
7,embed,local,1,a,nonlocal_subj,number,girls,mother,found,herself,The girls said that the mother found herself . <eos>,The girls said that the mother found herself .
7,embed,local,1,b,nonlocal_subj,number,mothers,girl,found,herself,The mothers said that the girl found herself . <eos>,The mothers said that the girl found herself .
7,embed,nonlocal,0,a,local_subj,number,girl,mothers,found,herself,The girl said that the mothers found herself . <eos>,The girl said that the mothers found herself .
7,embed,nonlocal,0,b,local_subj,number,mother,girls,found,herself,The mother said that the girls found herself . <eos>,The mother said that the girls found herself .
8,embed,local,1,a,none,none,girl,mother,distinguished,herself,The girl said that the mother distinguished herself . <eos>,The girl said that the mother distinguished herself .
8,embed,local,1,b,none,none,mother,girl,distinguished,herself,The mother said that the girl distinguished herself . <eos>,The mother said that the girl distinguished herself .
8,embed,local,1,a,nonlocal_subj,number,girls,mother,distinguished,herself,The girls said that the mother distinguished herself . <eos>,The girls said that the mother distinguished herself .
8,embed,local,1,b,nonlocal_subj,number,mothers,girl,distinguished,herself,The mothers said that the girl distinguished herself . <eos>,The mothers said that the girl distinguished herself .
8,embed,nonlocal,0,a,local_subj,number,girl,mothers,distinguished,herself,The girl said that the mothers distinguished herself . <eos>,The girl said that the mothers distinguished herself .
8,embed,nonlocal,0,b,local_subj,number,mother,girls,distinguished,herself,The mother said that the girls distinguished herself . <eos>,The mother said that the girls distinguished herself .
9,embed,local,1,a,none,none,girl,mother,taught,herself,The girl said that the mother taught herself . <eos>,The girl said that the mother taught herself .
9,embed,local,1,b,none,none,mother,girl,taught,herself,The mother said that the girl taught herself . <eos>,The mother said that the girl taught herself .
9,embed,local,1,a,nonlocal_subj,number,girls,mother,taught,herself,The girls said that the mother taught herself . <eos>,The girls said that the mother taught herself .
9,embed,local,1,b,nonlocal_subj,number,mothers,girl,taught,herself,The mothers said that the girl taught herself . <eos>,The mothers said that the girl taught herself .
9,embed,nonlocal,0,a,local_subj,number,girl,mothers,taught,herself,The girl said that the mothers taught herself . <eos>,The girl said that the mothers taught herself .
9,embed,nonlocal,0,b,local_subj,number,mother,girls,taught,herself,The mother said that the girls taught herself . <eos>,The mother said that the girls taught herself .
10,embed,local,1,a,none,none,girl,mother,killed,herself,The girl said that the mother killed herself . <eos>,The girl said that the mother killed herself .
10,embed,local,1,b,none,none,mother,girl,killed,herself,The mother said that the girl killed herself . <eos>,The mother said that the girl killed herself .
10,embed,local,1,a,nonlocal_subj,number,girls,mother,killed,herself,The girls said that the mother killed herself . <eos>,The girls said that the mother killed herself .
10,embed,local,1,b,nonlocal_subj,number,mothers,girl,killed,herself,The mothers said that the girl killed herself . <eos>,The mothers said that the girl killed herself .
10,embed,nonlocal,0,a,local_subj,number,girl,mothers,killed,herself,The girl said that the mothers killed herself . <eos>,The girl said that the mothers killed herself .
10,embed,nonlocal,0,b,local_subj,number,mother,girls,killed,herself,The mother said that the girls killed herself . <eos>,The mother said that the girls killed herself .
11,embed,local,1,a,none,none,girl,mother,called,herself,The girl said that the mother called herself . <eos>,The girl said that the mother called herself .
11,embed,local,1,b,none,none,mother,girl,called,herself,The mother said that the girl called herself . <eos>,The mother said that the girl called herself .
11,embed,local,1,a,nonlocal_subj,number,girls,mother,called,herself,The girls said that the mother called herself . <eos>,The girls said that the mother called herself .
11,embed,local,1,b,nonlocal_subj,number,mothers,girl,called,herself,The mothers said that the girl called herself . <eos>,The mothers said that the girl called herself .
11,embed,nonlocal,0,a,local_subj,number,girl,mothers,called,herself,The girl said that the mothers called herself . <eos>,The girl said that the mothers called herself .
11,embed,nonlocal,0,b,local_subj,number,mother,girls,called,herself,The mother said that the girls called herself . <eos>,The mother said that the girls called herself .
12,embed,local,1,a,none,none,girl,mother,dedicated,herself,The girl said that the mother dedicated herself . <eos>,The girl said that the mother dedicated herself .
12,embed,local,1,b,none,none,mother,girl,dedicated,herself,The mother said that the girl dedicated herself . <eos>,The mother said that the girl dedicated herself .
12,embed,local,1,a,nonlocal_subj,number,girls,mother,dedicated,herself,The girls said that the mother dedicated herself . <eos>,The girls said that the mother dedicated herself .
12,embed,local,1,b,nonlocal_subj,number,mothers,girl,dedicated,herself,The mothers said that the girl dedicated herself . <eos>,The mothers said that the girl dedicated herself .
12,embed,nonlocal,0,a,local_subj,number,girl,mothers,dedicated,herself,The girl said that the mothers dedicated herself . <eos>,The girl said that the mothers dedicated herself .
12,embed,nonlocal,0,b,local_subj,number,mother,girls,dedicated,herself,The mother said that the girls dedicated herself . <eos>,The mother said that the girls dedicated herself .
13,embed,local,1,a,none,none,girl,mother,declared,herself,The girl said that the mother declared herself . <eos>,The girl said that the mother declared herself .
13,embed,local,1,b,none,none,mother,girl,declared,herself,The mother said that the girl declared herself . <eos>,The mother said that the girl declared herself .
13,embed,local,1,a,nonlocal_subj,number,girls,mother,declared,herself,The girls said that the mother declared herself . <eos>,The girls said that the mother declared herself .
13,embed,local,1,b,nonlocal_subj,number,mothers,girl,declared,herself,The mothers said that the girl declared herself . <eos>,The mothers said that the girl declared herself .
13,embed,nonlocal,0,a,local_subj,number,girl,mothers,declared,herself,The girl said that the mothers declared herself . <eos>,The girl said that the mothers declared herself .
13,embed,nonlocal,0,b,local_subj,number,mother,girls,declared,herself,The mother said that the girls declared herself . <eos>,The mother said that the girls declared herself .
14,embed,local,1,a,none,none,girl,mother,proved,herself,The girl said that the mother proved herself . <eos>,The girl said that the mother proved herself .
14,embed,local,1,b,none,none,mother,girl,proved,herself,The mother said that the girl proved herself . <eos>,The mother said that the girl proved herself .
14,embed,local,1,a,nonlocal_subj,number,girls,mother,proved,herself,The girls said that the mother proved herself . <eos>,The girls said that the mother proved herself .
14,embed,local,1,b,nonlocal_subj,number,mothers,girl,proved,herself,The mothers said that the girl proved herself . <eos>,The mothers said that the girl proved herself .
14,embed,nonlocal,0,a,local_subj,number,girl,mothers,proved,herself,The girl said that the mothers proved herself . <eos>,The girl said that the mothers proved herself .
14,embed,nonlocal,0,b,local_subj,number,mother,girls,proved,herself,The mother said that the girls proved herself . <eos>,The mother said that the girls proved herself .
15,embed,local,1,a,none,none,girl,mother,shot,herself,The girl said that the mother shot herself . <eos>,The girl said that the mother shot herself .
15,embed,local,1,b,none,none,mother,girl,shot,herself,The mother said that the girl shot herself . <eos>,The mother said that the girl shot herself .
15,embed,local,1,a,nonlocal_subj,number,girls,mother,shot,herself,The girls said that the mother shot herself . <eos>,The girls said that the mother shot herself .
15,embed,local,1,b,nonlocal_subj,number,mothers,girl,shot,herself,The mothers said that the girl shot herself . <eos>,The mothers said that the girl shot herself .
15,embed,nonlocal,0,a,local_subj,number,girl,mothers,shot,herself,The girl said that the mothers shot herself . <eos>,The girl said that the mothers shot herself .
15,embed,nonlocal,0,b,local_subj,number,mother,girls,shot,herself,The mother said that the girls shot herself . <eos>,The mother said that the girls shot herself .
16,embed,local,1,a,none,none,girl,daughter,saw,herself,The girl said that the daughter saw herself . <eos>,The girl said that the daughter saw herself .
16,embed,local,1,b,none,none,daughter,girl,saw,herself,The daughter said that the girl saw herself . <eos>,The daughter said that the girl saw herself .
16,embed,local,1,a,nonlocal_subj,number,girls,daughter,saw,herself,The girls said that the daughter saw herself . <eos>,The girls said that the daughter saw herself .
16,embed,local,1,b,nonlocal_subj,number,daughters,girl,saw,herself,The daughters said that the girl saw herself . <eos>,The daughters said that the girl saw herself .
16,embed,nonlocal,0,a,local_subj,number,girl,daughters,saw,herself,The girl said that the daughters saw herself . <eos>,The girl said that the daughters saw herself .
16,embed,nonlocal,0,b,local_subj,number,daughter,girls,saw,herself,The daughter said that the girls saw herself . <eos>,The daughter said that the girls saw herself .
17,embed,local,1,a,none,none,girl,daughter,established,herself,The girl said that the daughter established herself . <eos>,The girl said that the daughter established herself .
17,embed,local,1,b,none,none,daughter,girl,established,herself,The daughter said that the girl established herself . <eos>,The daughter said that the girl established herself .
17,embed,local,1,a,nonlocal_subj,number,girls,daughter,established,herself,The girls said that the daughter established herself . <eos>,The girls said that the daughter established herself .
17,embed,local,1,b,nonlocal_subj,number,daughters,girl,established,herself,The daughters said that the girl established herself . <eos>,The daughters said that the girl established herself .
17,embed,nonlocal,0,a,local_subj,number,girl,daughters,established,herself,The girl said that the daughters established herself . <eos>,The girl said that the daughters established herself .
17,embed,nonlocal,0,b,local_subj,number,daughter,girls,established,herself,The daughter said that the girls established herself . <eos>,The daughter said that the girls established herself .
18,embed,local,1,a,none,none,girl,daughter,devoted,herself,The girl said that the daughter devoted herself . <eos>,The girl said that the daughter devoted herself .
18,embed,local,1,b,none,none,daughter,girl,devoted,herself,The daughter said that the girl devoted herself . <eos>,The daughter said that the girl devoted herself .
18,embed,local,1,a,nonlocal_subj,number,girls,daughter,devoted,herself,The girls said that the daughter devoted herself . <eos>,The girls said that the daughter devoted herself .
18,embed,local,1,b,nonlocal_subj,number,daughters,girl,devoted,herself,The daughters said that the girl devoted herself . <eos>,The daughters said that the girl devoted herself .
18,embed,nonlocal,0,a,local_subj,number,girl,daughters,devoted,herself,The girl said that the daughters devoted herself . <eos>,The girl said that the daughters devoted herself .
18,embed,nonlocal,0,b,local_subj,number,daughter,girls,devoted,herself,The daughter said that the girls devoted herself . <eos>,The daughter said that the girls devoted herself .
19,embed,local,1,a,none,none,girl,daughter,considered,herself,The girl said that the daughter considered herself . <eos>,The girl said that the daughter considered herself .
19,embed,local,1,b,none,none,daughter,girl,considered,herself,The daughter said that the girl considered herself . <eos>,The daughter said that the girl considered herself .
19,embed,local,1,a,nonlocal_subj,number,girls,daughter,considered,herself,The girls said that the daughter considered herself . <eos>,The girls said that the daughter considered herself .
19,embed,local,1,b,nonlocal_subj,number,daughters,girl,considered,herself,The daughters said that the girl considered herself . <eos>,The daughters said that the girl considered herself .
19,embed,nonlocal,0,a,local_subj,number,girl,daughters,considered,herself,The girl said that the daughters considered herself . <eos>,The girl said that the daughters considered herself .
19,embed,nonlocal,0,b,local_subj,number,daughter,girls,considered,herself,The daughter said that the girls considered herself . <eos>,The daughter said that the girls considered herself .
20,embed,local,1,a,none,none,girl,daughter,identified,herself,The girl said that the daughter identified herself . <eos>,The girl said that the daughter identified herself .
20,embed,local,1,b,none,none,daughter,girl,identified,herself,The daughter said that the girl identified herself . <eos>,The daughter said that the girl identified herself .
20,embed,local,1,a,nonlocal_subj,number,girls,daughter,identified,herself,The girls said that the daughter identified herself . <eos>,The girls said that the daughter identified herself .
20,embed,local,1,b,nonlocal_subj,number,daughters,girl,identified,herself,The daughters said that the girl identified herself . <eos>,The daughters said that the girl identified herself .
20,embed,nonlocal,0,a,local_subj,number,girl,daughters,identified,herself,The girl said that the daughters identified herself . <eos>,The girl said that the daughters identified herself .
20,embed,nonlocal,0,b,local_subj,number,daughter,girls,identified,herself,The daughter said that the girls identified herself . <eos>,The daughter said that the girls identified herself .
21,embed,local,1,a,none,none,girl,daughter,made,herself,The girl said that the daughter made herself . <eos>,The girl said that the daughter made herself .
21,embed,local,1,b,none,none,daughter,girl,made,herself,The daughter said that the girl made herself . <eos>,The daughter said that the girl made herself .
21,embed,local,1,a,nonlocal_subj,number,girls,daughter,made,herself,The girls said that the daughter made herself . <eos>,The girls said that the daughter made herself .
21,embed,local,1,b,nonlocal_subj,number,daughters,girl,made,herself,The daughters said that the girl made herself . <eos>,The daughters said that the girl made herself .
21,embed,nonlocal,0,a,local_subj,number,girl,daughters,made,herself,The girl said that the daughters made herself . <eos>,The girl said that the daughters made herself .
21,embed,nonlocal,0,b,local_subj,number,daughter,girls,made,herself,The daughter said that the girls made herself . <eos>,The daughter said that the girls made herself .
22,embed,local,1,a,none,none,girl,daughter,found,herself,The girl said that the daughter found herself . <eos>,The girl said that the daughter found herself .
22,embed,local,1,b,none,none,daughter,girl,found,herself,The daughter said that the girl found herself . <eos>,The daughter said that the girl found herself .
22,embed,local,1,a,nonlocal_subj,number,girls,daughter,found,herself,The girls said that the daughter found herself . <eos>,The girls said that the daughter found herself .
22,embed,local,1,b,nonlocal_subj,number,daughters,girl,found,herself,The daughters said that the girl found herself . <eos>,The daughters said that the girl found herself .
22,embed,nonlocal,0,a,local_subj,number,girl,daughters,found,herself,The girl said that the daughters found herself . <eos>,The girl said that the daughters found herself .
22,embed,nonlocal,0,b,local_subj,number,daughter,girls,found,herself,The daughter said that the girls found herself . <eos>,The daughter said that the girls found herself .
23,embed,local,1,a,none,none,girl,daughter,distinguished,herself,The girl said that the daughter distinguished herself . <eos>,The girl said that the daughter distinguished herself .
23,embed,local,1,b,none,none,daughter,girl,distinguished,herself,The daughter said that the girl distinguished herself . <eos>,The daughter said that the girl distinguished herself .
23,embed,local,1,a,nonlocal_subj,number,girls,daughter,distinguished,herself,The girls said that the daughter distinguished herself . <eos>,The girls said that the daughter distinguished herself .
23,embed,local,1,b,nonlocal_subj,number,daughters,girl,distinguished,herself,The daughters said that the girl distinguished herself . <eos>,The daughters said that the girl distinguished herself .
23,embed,nonlocal,0,a,local_subj,number,girl,daughters,distinguished,herself,The girl said that the daughters distinguished herself . <eos>,The girl said that the daughters distinguished herself .
23,embed,nonlocal,0,b,local_subj,number,daughter,girls,distinguished,herself,The daughter said that the girls distinguished herself . <eos>,The daughter said that the girls distinguished herself .
24,embed,local,1,a,none,none,girl,daughter,taught,herself,The girl said that the daughter taught herself . <eos>,The girl said that the daughter taught herself .
24,embed,local,1,b,none,none,daughter,girl,taught,herself,The daughter said that the girl taught herself . <eos>,The daughter said that the girl taught herself .
24,embed,local,1,a,nonlocal_subj,number,girls,daughter,taught,herself,The girls said that the daughter taught herself . <eos>,The girls said that the daughter taught herself .
24,embed,local,1,b,nonlocal_subj,number,daughters,girl,taught,herself,The daughters said that the girl taught herself . <eos>,The daughters said that the girl taught herself .
24,embed,nonlocal,0,a,local_subj,number,girl,daughters,taught,herself,The girl said that the daughters taught herself . <eos>,The girl said that the daughters taught herself .
24,embed,nonlocal,0,b,local_subj,number,daughter,girls,taught,herself,The daughter said that the girls taught herself . <eos>,The daughter said that the girls taught herself .
25,embed,local,1,a,none,none,girl,daughter,killed,herself,The girl said that the daughter killed herself . <eos>,The girl said that the daughter killed herself .
25,embed,local,1,b,none,none,daughter,girl,killed,herself,The daughter said that the girl killed herself . <eos>,The daughter said that the girl killed herself .
