itme,clause_type,LocalityType,C-command,grammatical,head_mismatch,distract_mismatch,mismatch_position,mismatch_feature,head_noun,distractor noun,verb,residual,sentence,sentence_no_eos
1,simple,local,c-command,1,none,none,none,none,father,man,was,smiling,The father near the man was smiling . <eos>,The father near the man was smiling .
1,simple,local,c-command,1,none,number,distractor,number,father,men,was,smiling,The father near the men was smiling . <eos>,The father near the men was smiling .
1,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,smiling,The father near the woman was smiling . <eos>,The father near the woman was smiling .
1,simple,local,c-command,1,none,both,distractor,both,father,women,was,smiling,The father near the women was smiling . <eos>,The father near the women was smiling .
1,simple,local,no-c-command,0,number,none,head,number,men,father,was,smiling,The men near the father was smiling . <eos>,The men near the father was smiling .
1,simple,local,no-c-command,0,gender,none,head,gender,woman,father,was,smiling,The woman near the father was smiling . <eos>,The woman near the father was smiling .
1,simple,local,no-c-command,0,both,none,head,both,women,father,was,smiling,The women near the father was smiling . <eos>,The women near the father was smiling .
2,simple,local,c-command,1,none,none,none,none,brother,man,was,waving,The brother near the man was waving . <eos>,The brother near the man was waving .
2,simple,local,c-command,1,none,number,distractor,number,brother,men,was,waving,The brother near the men was waving . <eos>,The brother near the men was waving .
2,simple,local,c-command,1,none,gender,distractor,gender,brother,woman,was,waving,The brother near the woman was waving . <eos>,The brother near the woman was waving .
2,simple,local,c-command,1,none,both,distractor,both,brother,women,was,waving,The brother near the women was waving . <eos>,The brother near the women was waving .
2,simple,local,no-c-command,0,number,none,head,number,men,brother,was,waving,The men near the brother was waving . <eos>,The men near the brother was waving .
2,simple,local,no-c-command,0,gender,none,head,gender,woman,brother,was,waving,The woman near the brother was waving . <eos>,The woman near the brother was waving .
2,simple,local,no-c-command,0,both,none,head,both,women,brother,was,waving,The women near the brother was waving . <eos>,The women near the brother was waving .
3,simple,local,c-command,1,none,none,none,none,brother,man,was,coughing,The brother near the man was coughing . <eos>,The brother near the man was coughing .
3,simple,local,c-command,1,none,number,distractor,number,brother,men,was,coughing,The brother near the men was coughing . <eos>,The brother near the men was coughing .
3,simple,local,c-command,1,none,gender,distractor,gender,brother,woman,was,coughing,The brother near the woman was coughing . <eos>,The brother near the woman was coughing .
3,simple,local,c-command,1,none,both,distractor,both,brother,women,was,coughing,The brother near the women was coughing . <eos>,The brother near the women was coughing .
3,simple,local,no-c-command,0,number,none,head,number,men,brother,was,coughing,The men near the brother was coughing . <eos>,The men near the brother was coughing .
3,simple,local,no-c-command,0,gender,none,head,gender,woman,brother,was,coughing,The woman near the brother was coughing . <eos>,The woman near the brother was coughing .
3,simple,local,no-c-command,0,both,none,head,both,women,brother,was,coughing,The women near the brother was coughing . <eos>,The women near the brother was coughing .
4,simple,local,c-command,1,none,none,none,none,king,man,was,walking,The king near the man was walking . <eos>,The king near the man was walking .
4,simple,local,c-command,1,none,number,distractor,number,king,men,was,walking,The king near the men was walking . <eos>,The king near the men was walking .
4,simple,local,c-command,1,none,gender,distractor,gender,king,woman,was,walking,The king near the woman was walking . <eos>,The king near the woman was walking .
4,simple,local,c-command,1,none,both,distractor,both,king,women,was,walking,The king near the women was walking . <eos>,The king near the women was walking .
4,simple,local,no-c-command,0,number,none,head,number,men,king,was,walking,The men near the king was walking . <eos>,The men near the king was walking .
4,simple,local,no-c-command,0,gender,none,head,gender,woman,king,was,walking,The woman near the king was walking . <eos>,The woman near the king was walking .
4,simple,local,no-c-command,0,both,none,head,both,women,king,was,walking,The women near the king was walking . <eos>,The women near the king was walking .
5,simple,local,c-command,1,none,none,none,none,actor,man,was,standing,The actor near the man was standing . <eos>,The actor near the man was standing .
5,simple,local,c-command,1,none,number,distractor,number,actor,men,was,standing,The actor near the men was standing . <eos>,The actor near the men was standing .
5,simple,local,c-command,1,none,gender,distractor,gender,actor,woman,was,standing,The actor near the woman was standing . <eos>,The actor near the woman was standing .
5,simple,local,c-command,1,none,both,distractor,both,actor,women,was,standing,The actor near the women was standing . <eos>,The actor near the women was standing .
5,simple,local,no-c-command,0,number,none,head,number,men,actor,was,standing,The men near the actor was standing . <eos>,The men near the actor was standing .
5,simple,local,no-c-command,0,gender,none,head,gender,woman,actor,was,standing,The woman near the actor was standing . <eos>,The woman near the actor was standing .
5,simple,local,no-c-command,0,both,none,head,both,women,actor,was,standing,The women near the actor was standing . <eos>,The women near the actor was standing .
6,simple,local,c-command,1,none,none,none,none,brother,man,was,leaving,The brother near the man was leaving . <eos>,The brother near the man was leaving .
6,simple,local,c-command,1,none,number,distractor,number,brother,men,was,leaving,The brother near the men was leaving . <eos>,The brother near the men was leaving .
6,simple,local,c-command,1,none,gender,distractor,gender,brother,woman,was,leaving,The brother near the woman was leaving . <eos>,The brother near the woman was leaving .
6,simple,local,c-command,1,none,both,distractor,both,brother,women,was,leaving,The brother near the women was leaving . <eos>,The brother near the women was leaving .
6,simple,local,no-c-command,0,number,none,head,number,men,brother,was,leaving,The men near the brother was leaving . <eos>,The men near the brother was leaving .
6,simple,local,no-c-command,0,gender,none,head,gender,woman,brother,was,leaving,The woman near the brother was leaving . <eos>,The woman near the brother was leaving .
6,simple,local,no-c-command,0,both,none,head,both,women,brother,was,leaving,The women near the brother was leaving . <eos>,The women near the brother was leaving .
7,simple,local,c-command,1,none,none,none,none,son,man,was,smiling,The son near the man was smiling . <eos>,The son near the man was smiling .
7,simple,local,c-command,1,none,number,distractor,number,son,men,was,smiling,The son near the men was smiling . <eos>,The son near the men was smiling .
7,simple,local,c-command,1,none,gender,distractor,gender,son,woman,was,smiling,The son near the woman was smiling . <eos>,The son near the woman was smiling .
7,simple,local,c-command,1,none,both,distractor,both,son,women,was,smiling,The son near the women was smiling . <eos>,The son near the women was smiling .
7,simple,local,no-c-command,0,number,none,head,number,men,son,was,smiling,The men near the son was smiling . <eos>,The men near the son was smiling .
7,simple,local,no-c-command,0,gender,none,head,gender,woman,son,was,smiling,The woman near the son was smiling . <eos>,The woman near the son was smiling .
7,simple,local,no-c-command,0,both,none,head,both,women,son,was,smiling,The women near the son was smiling . <eos>,The women near the son was smiling .
8,simple,local,c-command,1,none,none,none,none,father,man,was,waving,The father near the man was waving . <eos>,The father near the man was waving .
8,simple,local,c-command,1,none,number,distractor,number,father,men,was,waving,The father near the men was waving . <eos>,The father near the men was waving .
8,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,waving,The father near the woman was waving . <eos>,The father near the woman was waving .
8,simple,local,c-command,1,none,both,distractor,both,father,women,was,waving,The father near the women was waving . <eos>,The father near the women was waving .
8,simple,local,no-c-command,0,number,none,head,number,men,father,was,waving,The men near the father was waving . <eos>,The men near the father was waving .
8,simple,local,no-c-command,0,gender,none,head,gender,woman,father,was,waving,The woman near the father was waving . <eos>,The woman near the father was waving .
8,simple,local,no-c-command,0,both,none,head,both,women,father,was,waving,The women near the father was waving . <eos>,The women near the father was waving .
9,simple,local,c-command,1,none,none,none,none,son,man,was,coughing,The son near the man was coughing . <eos>,The son near the man was coughing .
9,simple,local,c-command,1,none,number,distractor,number,son,men,was,coughing,The son near the men was coughing . <eos>,The son near the men was coughing .
9,simple,local,c-command,1,none,gender,distractor,gender,son,woman,was,coughing,The son near the woman was coughing . <eos>,The son near the woman was coughing .
9,simple,local,c-command,1,none,both,distractor,both,son,women,was,coughing,The son near the women was coughing . <eos>,The son near the women was coughing .
9,simple,local,no-c-command,0,number,none,head,number,men,son,was,coughing,The men near the son was coughing . <eos>,The men near the son was coughing .
9,simple,local,no-c-command,0,gender,none,head,gender,woman,son,was,coughing,The woman near the son was coughing . <eos>,The woman near the son was coughing .
9,simple,local,no-c-command,0,both,none,head,both,women,son,was,coughing,The women near the son was coughing . <eos>,The women near the son was coughing .
10,simple,local,c-command,1,none,none,none,none,father,man,was,walking,The father near the man was walking . <eos>,The father near the man was walking .
10,simple,local,c-command,1,none,number,distractor,number,father,men,was,walking,The father near the men was walking . <eos>,The father near the men was walking .
10,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,walking,The father near the woman was walking . <eos>,The father near the woman was walking .
10,simple,local,c-command,1,none,both,distractor,both,father,women,was,walking,The father near the women was walking . <eos>,The father near the women was walking .
10,simple,local,no-c-command,0,number,none,head,number,men,father,was,walking,The men near the father was walking . <eos>,The men near the father was walking .
10,simple,local,no-c-command,0,gender,none,head,gender,woman,father,was,walking,The woman near the father was walking . <eos>,The woman near the father was walking .
10,simple,local,no-c-command,0,both,none,head,both,women,father,was,walking,The women near the father was walking . <eos>,The women near the father was walking .
11,simple,local,c-command,1,none,none,none,none,son,man,was,standing,The son near the man was standing . <eos>,The son near the man was standing .
11,simple,local,c-command,1,none,number,distractor,number,son,men,was,standing,The son near the men was standing . <eos>,The son near the men was standing .
11,simple,local,c-command,1,none,gender,distractor,gender,son,woman,was,standing,The son near the woman was standing . <eos>,The son near the woman was standing .
11,simple,local,c-command,1,none,both,distractor,both,son,women,was,standing,The son near the women was standing . <eos>,The son near the women was standing .
11,simple,local,no-c-command,0,number,none,head,number,men,son,was,standing,The men near the son was standing . <eos>,The men near the son was standing .
11,simple,local,no-c-command,0,gender,none,head,gender,woman,son,was,standing,The woman near the son was standing . <eos>,The woman near the son was standing .
11,simple,local,no-c-command,0,both,none,head,both,women,son,was,standing,The women near the son was standing . <eos>,The women near the son was standing .
12,simple,local,c-command,1,none,none,none,none,father,man,was,leaving,The father near the man was leaving . <eos>,The father near the man was leaving .
12,simple,local,c-command,1,none,number,distractor,number,father,men,was,leaving,The father near the men was leaving . <eos>,The father near the men was leaving .
12,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,leaving,The father near the woman was leaving . <eos>,The father near the woman was leaving .
12,simple,local,c-command,1,none,both,distractor,both,father,women,was,leaving,The father near the women was leaving . <eos>,The father near the women was leaving .
12,simple,local,no-c-command,0,number,none,head,number,men,father,was,leaving,The men near the father was leaving . <eos>,The men near the father was leaving .
12,simple,local,no-c-command,0,gender,none,head,gender,woman,father,was,leaving,The woman near the father was leaving . <eos>,The woman near the father was leaving .
12,simple,local,no-c-command,0,both,none,head,both,women,father,was,leaving,The women near the father was leaving . <eos>,The women near the father was leaving .
13,simple,local,c-command,1,none,none,none,none,father,man,was,smiling,The father near the man was smiling . <eos>,The father near the man was smiling .
13,simple,local,c-command,1,none,number,distractor,number,father,men,was,smiling,The father near the men was smiling . <eos>,The father near the men was smiling .
13,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,smiling,The father near the woman was smiling . <eos>,The father near the woman was smiling .
13,simple,local,c-command,1,none,both,distractor,both,father,women,was,smiling,The father near the women was smiling . <eos>,The father near the women was smiling .
13,simple,local,no-c-command,0,number,none,head,number,men,father,was,smiling,The men near the father was smiling . <eos>,The men near the father was smiling .
13,simple,local,no-c-command,0,gender,none,head,gender,woman,father,was,smiling,The woman near the father was smiling . <eos>,The woman near the father was smiling .
13,simple,local,no-c-command,0,both,none,head,both,women,father,was,smiling,The women near the father was smiling . <eos>,The women near the father was smiling .
14,simple,local,c-command,1,none,none,none,none,grandfather,man,was,waving,The grandfather near the man was waving . <eos>,The grandfather near the man was waving .
14,simple,local,c-command,1,none,number,distractor,number,grandfather,men,was,waving,The grandfather near the men was waving . <eos>,The grandfather near the men was waving .
14,simple,local,c-command,1,none,gender,distractor,gender,grandfather,woman,was,waving,The grandfather near the woman was waving . <eos>,The grandfather near the woman was waving .
14,simple,local,c-command,1,none,both,distractor,both,grandfather,women,was,waving,The grandfather near the women was waving . <eos>,The grandfather near the women was waving .
14,simple,local,no-c-command,0,number,none,head,number,men,grandfather,was,waving,The men near the grandfather was waving . <eos>,The men near the grandfather was waving .
14,simple,local,no-c-command,0,gender,none,head,gender,woman,grandfather,was,waving,The woman near the grandfather was waving . <eos>,The woman near the grandfather was waving .
14,simple,local,no-c-command,0,both,none,head,both,women,grandfather,was,waving,The women near the grandfather was waving . <eos>,The women near the grandfather was waving .
15,simple,local,c-command,1,none,none,none,none,brother,man,was,coughing,The brother near the man was coughing . <eos>,The brother near the man was coughing .
15,simple,local,c-command,1,none,number,distractor,number,brother,men,was,coughing,The brother near the men was coughing . <eos>,The brother near the men was coughing .
15,simple,local,c-command,1,none,gender,distractor,gender,brother,woman,was,coughing,The brother near the woman was coughing . <eos>,The brother near the woman was coughing .
15,simple,local,c-command,1,none,both,distractor,both,brother,women,was,coughing,The brother near the women was coughing . <eos>,The brother near the women was coughing .
15,simple,local,no-c-command,0,number,none,head,number,men,brother,was,coughing,The men near the brother was coughing . <eos>,The men near the brother was coughing .
15,simple,local,no-c-command,0,gender,none,head,gender,woman,brother,was,coughing,The woman near the brother was coughing . <eos>,The woman near the brother was coughing .
15,simple,local,no-c-command,0,both,none,head,both,women,brother,was,coughing,The women near the brother was coughing . <eos>,The women near the brother was coughing .
16,simple,local,c-command,1,none,none,none,none,king,man,was,walking,The king near the man was walking . <eos>,The king near the man was walking .
16,simple,local,c-command,1,none,number,distractor,number,king,men,was,walking,The king near the men was walking . <eos>,The king near the men was walking .
16,simple,local,c-command,1,none,gender,distractor,gender,king,woman,was,walking,The king near the woman was walking . <eos>,The king near the woman was walking .
16,simple,local,c-command,1,none,both,distractor,both,king,women,was,walking,The king near the women was walking . <eos>,The king near the women was walking .
16,simple,local,no-c-command,0,number,none,head,number,men,king,was,walking,The men near the king was walking . <eos>,The men near the king was walking .
16,simple,local,no-c-command,0,gender,none,head,gender,woman,king,was,walking,The woman near the king was walking . <eos>,The woman near the king was walking .
16,simple,local,no-c-command,0,both,none,head,both,women,king,was,walking,The women near the king was walking . <eos>,The women near the king was walking .
17,simple,local,c-command,1,none,none,none,none,father,man,was,standing,The father near the man was standing . <eos>,The father near the man was standing .
17,simple,local,c-command,1,none,number,distractor,number,father,men,was,standing,The father near the men was standing . <eos>,The father near the men was standing .
17,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,standing,The father near the woman was standing . <eos>,The father near the woman was standing .
17,simple,local,c-command,1,none,both,distractor,both,father,women,was,standing,The father near the women was standing . <eos>,The father near the women was standing .
17,simple,local,no-c-command,0,number,none,head,number,men,father,was,standing,The men near the father was standing . <eos>,The men near the father was standing .
17,simple,local,no-c-command,0,gender,none,head,gender,woman,father,was,standing,The woman near the father was standing . <eos>,The woman near the father was standing .
17,simple,local,no-c-command,0,both,none,head,both,women,father,was,standing,The women near the father was standing . <eos>,The women near the father was standing .
18,simple,local,c-command,1,none,none,none,none,father,man,was,leaving,The father near the man was leaving . <eos>,The father near the man was leaving .
18,simple,local,c-command,1,none,number,distractor,number,father,men,was,leaving,The father near the men was leaving . <eos>,The father near the men was leaving .
18,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,leaving,The father near the woman was leaving . <eos>,The father near the woman was leaving .
18,simple,local,c-command,1,none,both,distractor,both,father,women,was,leaving,The father near the women was leaving . <eos>,The father near the women was leaving .
18,simple,local,no-c-command,0,number,none,head,number,men,father,was,leaving,The men near the father was leaving . <eos>,The men near the father was leaving .
18,simple,local,no-c-command,0,gender,none,head,gender,woman,father,was,leaving,The woman near the father was leaving . <eos>,The woman near the father was leaving .
18,simple,local,no-c-command,0,both,none,head,both,women,father,was,leaving,The women near the father was leaving . <eos>,The women near the father was leaving .
19,simple,local,c-command,1,none,none,none,none,uncle,man,was,smiling,The uncle near the man was smiling . <eos>,The uncle near the man was smiling .
19,simple,local,c-command,1,none,number,distractor,number,uncle,men,was,smiling,The uncle near the men was smiling . <eos>,The uncle near the men was smiling .
19,simple,local,c-command,1,none,gender,distractor,gender,uncle,woman,was,smiling,The uncle near the woman was smiling . <eos>,The uncle near the woman was smiling .
19,simple,local,c-command,1,none,both,distractor,both,uncle,women,was,smiling,The uncle near the women was smiling . <eos>,The uncle near the women was smiling .
19,simple,local,no-c-command,0,number,none,head,number,men,uncle,was,smiling,The men near the uncle was smiling . <eos>,The men near the uncle was smiling .
19,simple,local,no-c-command,0,gender,none,head,gender,woman,uncle,was,smiling,The woman near the uncle was smiling . <eos>,The woman near the uncle was smiling .
19,simple,local,no-c-command,0,both,none,head,both,women,uncle,was,smiling,The women near the uncle was smiling . <eos>,The women near the uncle was smiling .
20,simple,local,c-command,1,none,none,none,none,grandfather,man,was,waving,The grandfather near the man was waving . <eos>,The grandfather near the man was waving .
20,simple,local,c-command,1,none,number,distractor,number,grandfather,men,was,waving,The grandfather near the men was waving . <eos>,The grandfather near the men was waving .
20,simple,local,c-command,1,none,gender,distractor,gender,grandfather,woman,was,waving,The grandfather near the woman was waving . <eos>,The grandfather near the woman was waving .
20,simple,local,c-command,1,none,both,distractor,both,grandfather,women,was,waving,The grandfather near the women was waving . <eos>,The grandfather near the women was waving .
20,simple,local,no-c-command,0,number,none,head,number,men,grandfather,was,waving,The men near the grandfather was waving . <eos>,The men near the grandfather was waving .
20,simple,local,no-c-command,0,gender,none,head,gender,woman,grandfather,was,waving,The woman near the grandfather was waving . <eos>,The woman near the grandfather was waving .
20,simple,local,no-c-command,0,both,none,head,both,women,grandfather,was,waving,The women near the grandfather was waving . <eos>,The women near the grandfather was waving .
21,simple,local,c-command,1,none,none,none,none,father,man,was,coughing,The father near the man was coughing . <eos>,The father near the man was coughing .
21,simple,local,c-command,1,none,number,distractor,number,father,men,was,coughing,The father near the men was coughing . <eos>,The father near the men was coughing .
21,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,coughing,The father near the woman was coughing . <eos>,The father near the woman was coughing .
21,simple,local,c-command,1,none,both,distractor,both,father,women,was,coughing,The father near the women was coughing . <eos>,The father near the women was coughing .
21,simple,local,no-c-command,0,number,none,head,number,men,father,was,coughing,The men near the father was coughing . <eos>,The men near the father was coughing .
21,simple,local,no-c-command,0,gender,none,head,gender,woman,father,was,coughing,The woman near the father was coughing . <eos>,The woman near the father was coughing .
21,simple,local,no-c-command,0,both,none,head,both,women,father,was,coughing,The women near the father was coughing . <eos>,The women near the father was coughing .
22,simple,local,c-command,1,none,none,none,none,boy,man,was,walking,The boy near the man was walking . <eos>,The boy near the man was walking .
22,simple,local,c-command,1,none,number,distractor,number,boy,men,was,walking,The boy near the men was walking . <eos>,The boy near the men was walking .
22,simple,local,c-command,1,none,gender,distractor,gender,boy,woman,was,walking,The boy near the woman was walking . <eos>,The boy near the woman was walking .
22,simple,local,c-command,1,none,both,distractor,both,boy,women,was,walking,The boy near the women was walking . <eos>,The boy near the women was walking .
22,simple,local,no-c-command,0,number,none,head,number,men,boy,was,walking,The men near the boy was walking . <eos>,The men near the boy was walking .
22,simple,local,no-c-command,0,gender,none,head,gender,woman,boy,was,walking,The woman near the boy was walking . <eos>,The woman near the boy was walking .
22,simple,local,no-c-command,0,both,none,head,both,women,boy,was,walking,The women near the boy was walking . <eos>,The women near the boy was walking .
23,simple,local,c-command,1,none,none,none,none,grandfather,man,was,standing,The grandfather near the man was standing . <eos>,The grandfather near the man was standing .
23,simple,local,c-command,1,none,number,distractor,number,grandfather,men,was,standing,The grandfather near the men was standing . <eos>,The grandfather near the men was standing .
23,simple,local,c-command,1,none,gender,distractor,gender,grandfather,woman,was,standing,The grandfather near the woman was standing . <eos>,The grandfather near the woman was standing .
23,simple,local,c-command,1,none,both,distractor,both,grandfather,women,was,standing,The grandfather near the women was standing . <eos>,The grandfather near the women was standing .
23,simple,local,no-c-command,0,number,none,head,number,men,grandfather,was,standing,The men near the grandfather was standing . <eos>,The men near the grandfather was standing .
23,simple,local,no-c-command,0,gender,none,head,gender,woman,grandfather,was,standing,The woman near the grandfather was standing . <eos>,The woman near the grandfather was standing .
23,simple,local,no-c-command,0,both,none,head,both,women,grandfather,was,standing,The women near the grandfather was standing . <eos>,The women near the grandfather was standing .
24,simple,local,c-command,1,none,none,none,none,grandfather,man,was,leaving,The grandfather near the man was leaving . <eos>,The grandfather near the man was leaving .
24,simple,local,c-command,1,none,number,distractor,number,grandfather,men,was,leaving,The grandfather near the men was leaving . <eos>,The grandfather near the men was leaving .
24,simple,local,c-command,1,none,gender,distractor,gender,grandfather,woman,was,leaving,The grandfather near the woman was leaving . <eos>,The grandfather near the woman was leaving .
24,simple,local,c-command,1,none,both,distractor,both,grandfather,women,was,leaving,The grandfather near the women was leaving . <eos>,The grandfather near the women was leaving .
24,simple,local,no-c-command,0,number,none,head,number,men,grandfather,was,leaving,The men near the grandfather was leaving . <eos>,The men near the grandfather was leaving .
24,simple,local,no-c-command,0,gender,none,head,gender,woman,grandfather,was,leaving,The woman near the grandfather was leaving . <eos>,The woman near the grandfather was leaving .
24,simple,local,no-c-command,0,both,none,head,both,women,grandfather,was,leaving,The women near the grandfather was leaving . <eos>,The women near the grandfather was leaving .
25,simple,local,c-command,1,none,none,none,none,son,man,was,smiling,The son near the man was smiling . <eos>,The son near the man was smiling .
25,simple,local,c-command,1,none,number,distractor,number,son,men,was,smiling,The son near the men was smiling . <eos>,The son near the men was smiling .
25,simple,local,c-command,1,none,gender,distractor,gender,son,woman,was,smiling,The son near the woman was smiling . <eos>,The son near the woman was smiling .
25,simple,local,c-command,1,none,both,distractor,both,son,women,was,smiling,The son near the women was smiling . <eos>,The son near the women was smiling .
25,simple,local,no-c-command,0,number,none,head,number,men,son,was,smiling,The men near the son was smiling . <eos>,The men near the son was smiling .
25,simple,local,no-c-command,0,gender,none,head,gender,woman,son,was,smiling,The woman near the son was smiling . <eos>,The woman near the son was smiling .
25,simple,local,no-c-command,0,both,none,head,both,women,son,was,smiling,The women near the son was smiling . <eos>,The women near the son was smiling .
26,simple,local,c-command,1,none,none,none,none,king,man,was,waving,The king near the man was waving . <eos>,The king near the man was waving .
26,simple,local,c-command,1,none,number,distractor,number,king,men,was,waving,The king near the men was waving . <eos>,The king near the men was waving .
26,simple,local,c-command,1,none,gender,distractor,gender,king,woman,was,waving,The king near the woman was waving . <eos>,The king near the woman was waving .
26,simple,local,c-command,1,none,both,distractor,both,king,women,was,waving,The king near the women was waving . <eos>,The king near the women was waving .
26,simple,local,no-c-command,0,number,none,head,number,men,king,was,waving,The men near the king was waving . <eos>,The men near the king was waving .
26,simple,local,no-c-command,0,gender,none,head,gender,woman,king,was,waving,The woman near the king was waving . <eos>,The woman near the king was waving .
26,simple,local,no-c-command,0,both,none,head,both,women,king,was,waving,The women near the king was waving . <eos>,The women near the king was waving .
27,simple,local,c-command,1,none,none,none,none,boy,man,was,coughing,The boy near the man was coughing . <eos>,The boy near the man was coughing .
27,simple,local,c-command,1,none,number,distractor,number,boy,men,was,coughing,The boy near the men was coughing . <eos>,The boy near the men was coughing .
27,simple,local,c-command,1,none,gender,distractor,gender,boy,woman,was,coughing,The boy near the woman was coughing . <eos>,The boy near the woman was coughing .
27,simple,local,c-command,1,none,both,distractor,both,boy,women,was,coughing,The boy near the women was coughing . <eos>,The boy near the women was coughing .
27,simple,local,no-c-command,0,number,none,head,number,men,boy,was,coughing,The men near the boy was coughing . <eos>,The men near the boy was coughing .
27,simple,local,no-c-command,0,gender,none,head,gender,woman,boy,was,coughing,The woman near the boy was coughing . <eos>,The woman near the boy was coughing .
27,simple,local,no-c-command,0,both,none,head,both,women,boy,was,coughing,The women near the boy was coughing . <eos>,The women near the boy was coughing .
28,simple,local,c-command,1,none,none,none,none,prince,man,was,walking,The prince near the man was walking . <eos>,The prince near the man was walking .
28,simple,local,c-command,1,none,number,distractor,number,prince,men,was,walking,The prince near the men was walking . <eos>,The prince near the men was walking .
28,simple,local,c-command,1,none,gender,distractor,gender,prince,woman,was,walking,The prince near the woman was walking . <eos>,The prince near the woman was walking .
28,simple,local,c-command,1,none,both,distractor,both,prince,women,was,walking,The prince near the women was walking . <eos>,The prince near the women was walking .
28,simple,local,no-c-command,0,number,none,head,number,men,prince,was,walking,The men near the prince was walking . <eos>,The men near the prince was walking .
28,simple,local,no-c-command,0,gender,none,head,gender,woman,prince,was,walking,The woman near the prince was walking . <eos>,The woman near the prince was walking .
28,simple,local,no-c-command,0,both,none,head,both,women,prince,was,walking,The women near the prince was walking . <eos>,The women near the prince was walking .
29,simple,local,c-command,1,none,none,none,none,uncle,man,was,standing,The uncle near the man was standing . <eos>,The uncle near the man was standing .
29,simple,local,c-command,1,none,number,distractor,number,uncle,men,was,standing,The uncle near the men was standing . <eos>,The uncle near the men was standing .
29,simple,local,c-command,1,none,gender,distractor,gender,uncle,woman,was,standing,The uncle near the woman was standing . <eos>,The uncle near the woman was standing .
29,simple,local,c-command,1,none,both,distractor,both,uncle,women,was,standing,The uncle near the women was standing . <eos>,The uncle near the women was standing .
29,simple,local,no-c-command,0,number,none,head,number,men,uncle,was,standing,The men near the uncle was standing . <eos>,The men near the uncle was standing .
29,simple,local,no-c-command,0,gender,none,head,gender,woman,uncle,was,standing,The woman near the uncle was standing . <eos>,The woman near the uncle was standing .
29,simple,local,no-c-command,0,both,none,head,both,women,uncle,was,standing,The women near the uncle was standing . <eos>,The women near the uncle was standing .
30,simple,local,c-command,1,none,none,none,none,husband,man,was,leaving,The husband near the man was leaving . <eos>,The husband near the man was leaving .
30,simple,local,c-command,1,none,number,distractor,number,husband,men,was,leaving,The husband near the men was leaving . <eos>,The husband near the men was leaving .
30,simple,local,c-command,1,none,gender,distractor,gender,husband,woman,was,leaving,The husband near the woman was leaving . <eos>,The husband near the woman was leaving .
30,simple,local,c-command,1,none,both,distractor,both,husband,women,was,leaving,The husband near the women was leaving . <eos>,The husband near the women was leaving .
30,simple,local,no-c-command,0,number,none,head,number,men,husband,was,leaving,The men near the husband was leaving . <eos>,The men near the husband was leaving .
30,simple,local,no-c-command,0,gender,none,head,gender,woman,husband,was,leaving,The woman near the husband was leaving . <eos>,The woman near the husband was leaving .
30,simple,local,no-c-command,0,both,none,head,both,women,husband,was,leaving,The women near the husband was leaving . <eos>,The women near the husband was leaving .