item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos
1,simple,local,c-command,1,a,none,none,girl,mother,saw,herself,The girl that the mother liked saw herself . <eos>,The girl that the mother liked saw herself .
1,simple,local,c-command,1,b,none,none,mother,girl,saw,herself,The mother that the girl liked saw herself . <eos>,The mother that the girl liked saw herself .
1,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,saw,herself,The girls that the mother liked saw herself . <eos>,The girls that the mother liked saw herself .
1,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,saw,herself,The mothers that the girl liked saw herself . <eos>,The mothers that the girl liked saw herself .
1,simple,local,c-command,1,a,rc_subj,number,girl,mothers,saw,herself,The girl that the mothers liked saw herself . <eos>,The girl that the mothers liked saw herself .
1,simple,local,c-command,1,b,rc_subj,number,mother,girls,saw,herself,The mother that the girls liked saw herself . <eos>,The mother that the girls liked saw herself .
2,simple,local,c-command,1,a,none,none,girl,mother,established,herself,The girl that the mother liked established herself . <eos>,The girl that the mother liked established herself .
2,simple,local,c-command,1,b,none,none,mother,girl,established,herself,The mother that the girl liked established herself . <eos>,The mother that the girl liked established herself .
2,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,established,herself,The girls that the mother liked established herself . <eos>,The girls that the mother liked established herself .
2,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,established,herself,The mothers that the girl liked established herself . <eos>,The mothers that the girl liked established herself .
2,simple,local,c-command,1,a,rc_subj,number,girl,mothers,established,herself,The girl that the mothers liked established herself . <eos>,The girl that the mothers liked established herself .
2,simple,local,c-command,1,b,rc_subj,number,mother,girls,established,herself,The mother that the girls liked established herself . <eos>,The mother that the girls liked established herself .
3,simple,local,c-command,1,a,none,none,girl,mother,devoted,herself,The girl that the mother liked devoted herself . <eos>,The girl that the mother liked devoted herself .
3,simple,local,c-command,1,b,none,none,mother,girl,devoted,herself,The mother that the girl liked devoted herself . <eos>,The mother that the girl liked devoted herself .
3,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,devoted,herself,The girls that the mother liked devoted herself . <eos>,The girls that the mother liked devoted herself .
3,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,devoted,herself,The mothers that the girl liked devoted herself . <eos>,The mothers that the girl liked devoted herself .
3,simple,local,c-command,1,a,rc_subj,number,girl,mothers,devoted,herself,The girl that the mothers liked devoted herself . <eos>,The girl that the mothers liked devoted herself .
3,simple,local,c-command,1,b,rc_subj,number,mother,girls,devoted,herself,The mother that the girls liked devoted herself . <eos>,The mother that the girls liked devoted herself .
4,simple,local,c-command,1,a,none,none,girl,mother,considered,herself,The girl that the mother liked considered herself . <eos>,The girl that the mother liked considered herself .
4,simple,local,c-command,1,b,none,none,mother,girl,considered,herself,The mother that the girl liked considered herself . <eos>,The mother that the girl liked considered herself .
4,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,considered,herself,The girls that the mother liked considered herself . <eos>,The girls that the mother liked considered herself .
4,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,considered,herself,The mothers that the girl liked considered herself . <eos>,The mothers that the girl liked considered herself .
4,simple,local,c-command,1,a,rc_subj,number,girl,mothers,considered,herself,The girl that the mothers liked considered herself . <eos>,The girl that the mothers liked considered herself .
4,simple,local,c-command,1,b,rc_subj,number,mother,girls,considered,herself,The mother that the girls liked considered herself . <eos>,The mother that the girls liked considered herself .
5,simple,local,c-command,1,a,none,none,girl,mother,identified,herself,The girl that the mother liked identified herself . <eos>,The girl that the mother liked identified herself .
5,simple,local,c-command,1,b,none,none,mother,girl,identified,herself,The mother that the girl liked identified herself . <eos>,The mother that the girl liked identified herself .
5,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,identified,herself,The girls that the mother liked identified herself . <eos>,The girls that the mother liked identified herself .
5,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,identified,herself,The mothers that the girl liked identified herself . <eos>,The mothers that the girl liked identified herself .
5,simple,local,c-command,1,a,rc_subj,number,girl,mothers,identified,herself,The girl that the mothers liked identified herself . <eos>,The girl that the mothers liked identified herself .
5,simple,local,c-command,1,b,rc_subj,number,mother,girls,identified,herself,The mother that the girls liked identified herself . <eos>,The mother that the girls liked identified herself .
6,simple,local,c-command,1,a,none,none,girl,mother,made,herself,The girl that the mother liked made herself . <eos>,The girl that the mother liked made herself .
6,simple,local,c-command,1,b,none,none,mother,girl,made,herself,The mother that the girl liked made herself . <eos>,The mother that the girl liked made herself .
6,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,made,herself,The girls that the mother liked made herself . <eos>,The girls that the mother liked made herself .
6,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,made,herself,The mothers that the girl liked made herself . <eos>,The mothers that the girl liked made herself .
6,simple,local,c-command,1,a,rc_subj,number,girl,mothers,made,herself,The girl that the mothers liked made herself . <eos>,The girl that the mothers liked made herself .
6,simple,local,c-command,1,b,rc_subj,number,mother,girls,made,herself,The mother that the girls liked made herself . <eos>,The mother that the girls liked made herself .
7,simple,local,c-command,1,a,none,none,girl,mother,found,herself,The girl that the mother liked found herself . <eos>,The girl that the mother liked found herself .
7,simple,local,c-command,1,b,none,none,mother,girl,found,herself,The mother that the girl liked found herself . <eos>,The mother that the girl liked found herself .
7,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,found,herself,The girls that the mother liked found herself . <eos>,The girls that the mother liked found herself .
7,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,found,herself,The mothers that the girl liked found herself . <eos>,The mothers that the girl liked found herself .
7,simple,local,c-command,1,a,rc_subj,number,girl,mothers,found,herself,The girl that the mothers liked found herself . <eos>,The girl that the mothers liked found herself .
7,simple,local,c-command,1,b,rc_subj,number,mother,girls,found,herself,The mother that the girls liked found herself . <eos>,The mother that the girls liked found herself .
8,simple,local,c-command,1,a,none,none,girl,mother,distinguished,herself,The girl that the mother liked distinguished herself . <eos>,The girl that the mother liked distinguished herself .
8,simple,local,c-command,1,b,none,none,mother,girl,distinguished,herself,The mother that the girl liked distinguished herself . <eos>,The mother that the girl liked distinguished herself .
8,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,distinguished,herself,The girls that the mother liked distinguished herself . <eos>,The girls that the mother liked distinguished herself .
8,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,distinguished,herself,The mothers that the girl liked distinguished herself . <eos>,The mothers that the girl liked distinguished herself .
8,simple,local,c-command,1,a,rc_subj,number,girl,mothers,distinguished,herself,The girl that the mothers liked distinguished herself . <eos>,The girl that the mothers liked distinguished herself .
8,simple,local,c-command,1,b,rc_subj,number,mother,girls,distinguished,herself,The mother that the girls liked distinguished herself . <eos>,The mother that the girls liked distinguished herself .
9,simple,local,c-command,1,a,none,none,girl,mother,taught,herself,The girl that the mother liked taught herself . <eos>,The girl that the mother liked taught herself .
9,simple,local,c-command,1,b,none,none,mother,girl,taught,herself,The mother that the girl liked taught herself . <eos>,The mother that the girl liked taught herself .
9,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,taught,herself,The girls that the mother liked taught herself . <eos>,The girls that the mother liked taught herself .
9,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,taught,herself,The mothers that the girl liked taught herself . <eos>,The mothers that the girl liked taught herself .
9,simple,local,c-command,1,a,rc_subj,number,girl,mothers,taught,herself,The girl that the mothers liked taught herself . <eos>,The girl that the mothers liked taught herself .
9,simple,local,c-command,1,b,rc_subj,number,mother,girls,taught,herself,The mother that the girls liked taught herself . <eos>,The mother that the girls liked taught herself .
10,simple,local,c-command,1,a,none,none,girl,mother,killed,herself,The girl that the mother liked killed herself . <eos>,The girl that the mother liked killed herself .
10,simple,local,c-command,1,b,none,none,mother,girl,killed,herself,The mother that the girl liked killed herself . <eos>,The mother that the girl liked killed herself .
10,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,killed,herself,The girls that the mother liked killed herself . <eos>,The girls that the mother liked killed herself .
10,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,killed,herself,The mothers that the girl liked killed herself . <eos>,The mothers that the girl liked killed herself .
10,simple,local,c-command,1,a,rc_subj,number,girl,mothers,killed,herself,The girl that the mothers liked killed herself . <eos>,The girl that the mothers liked killed herself .
10,simple,local,c-command,1,b,rc_subj,number,mother,girls,killed,herself,The mother that the girls liked killed herself . <eos>,The mother that the girls liked killed herself .
11,simple,local,c-command,1,a,none,none,girl,mother,called,herself,The girl that the mother liked called herself . <eos>,The girl that the mother liked called herself .
11,simple,local,c-command,1,b,none,none,mother,girl,called,herself,The mother that the girl liked called herself . <eos>,The mother that the girl liked called herself .
11,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,called,herself,The girls that the mother liked called herself . <eos>,The girls that the mother liked called herself .
11,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,called,herself,The mothers that the girl liked called herself . <eos>,The mothers that the girl liked called herself .
11,simple,local,c-command,1,a,rc_subj,number,girl,mothers,called,herself,The girl that the mothers liked called herself . <eos>,The girl that the mothers liked called herself .
11,simple,local,c-command,1,b,rc_subj,number,mother,girls,called,herself,The mother that the girls liked called herself . <eos>,The mother that the girls liked called herself .
12,simple,local,c-command,1,a,none,none,girl,mother,dedicated,herself,The girl that the mother liked dedicated herself . <eos>,The girl that the mother liked dedicated herself .
12,simple,local,c-command,1,b,none,none,mother,girl,dedicated,herself,The mother that the girl liked dedicated herself . <eos>,The mother that the girl liked dedicated herself .
12,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,dedicated,herself,The girls that the mother liked dedicated herself . <eos>,The girls that the mother liked dedicated herself .
12,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,dedicated,herself,The mothers that the girl liked dedicated herself . <eos>,The mothers that the girl liked dedicated herself .
12,simple,local,c-command,1,a,rc_subj,number,girl,mothers,dedicated,herself,The girl that the mothers liked dedicated herself . <eos>,The girl that the mothers liked dedicated herself .
12,simple,local,c-command,1,b,rc_subj,number,mother,girls,dedicated,herself,The mother that the girls liked dedicated herself . <eos>,The mother that the girls liked dedicated herself .
13,simple,local,c-command,1,a,none,none,girl,mother,declared,herself,The girl that the mother liked declared herself . <eos>,The girl that the mother liked declared herself .
13,simple,local,c-command,1,b,none,none,mother,girl,declared,herself,The mother that the girl liked declared herself . <eos>,The mother that the girl liked declared herself .
13,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,declared,herself,The girls that the mother liked declared herself . <eos>,The girls that the mother liked declared herself .
13,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,declared,herself,The mothers that the girl liked declared herself . <eos>,The mothers that the girl liked declared herself .
13,simple,local,c-command,1,a,rc_subj,number,girl,mothers,declared,herself,The girl that the mothers liked declared herself . <eos>,The girl that the mothers liked declared herself .
13,simple,local,c-command,1,b,rc_subj,number,mother,girls,declared,herself,The mother that the girls liked declared herself . <eos>,The mother that the girls liked declared herself .
14,simple,local,c-command,1,a,none,none,girl,mother,proved,herself,The girl that the mother liked proved herself . <eos>,The girl that the mother liked proved herself .
14,simple,local,c-command,1,b,none,none,mother,girl,proved,herself,The mother that the girl liked proved herself . <eos>,The mother that the girl liked proved herself .
14,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,proved,herself,The girls that the mother liked proved herself . <eos>,The girls that the mother liked proved herself .
14,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,proved,herself,The mothers that the girl liked proved herself . <eos>,The mothers that the girl liked proved herself .
14,simple,local,c-command,1,a,rc_subj,number,girl,mothers,proved,herself,The girl that the mothers liked proved herself . <eos>,The girl that the mothers liked proved herself .
14,simple,local,c-command,1,b,rc_subj,number,mother,girls,proved,herself,The mother that the girls liked proved herself . <eos>,The mother that the girls liked proved herself .
15,simple,local,c-command,1,a,none,none,girl,mother,shot,herself,The girl that the mother liked shot herself . <eos>,The girl that the mother liked shot herself .
15,simple,local,c-command,1,b,none,none,mother,girl,shot,herself,The mother that the girl liked shot herself . <eos>,The mother that the girl liked shot herself .
15,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,shot,herself,The girls that the mother liked shot herself . <eos>,The girls that the mother liked shot herself .
15,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,shot,herself,The mothers that the girl liked shot herself . <eos>,The mothers that the girl liked shot herself .
15,simple,local,c-command,1,a,rc_subj,number,girl,mothers,shot,herself,The girl that the mothers liked shot herself . <eos>,The girl that the mothers liked shot herself .
15,simple,local,c-command,1,b,rc_subj,number,mother,girls,shot,herself,The mother that the girls liked shot herself . <eos>,The mother that the girls liked shot herself .
16,simple,local,c-command,1,a,none,none,girl,daughter,saw,herself,The girl that the daughter liked saw herself . <eos>,The girl that the daughter liked saw herself .
16,simple,local,c-command,1,b,none,none,daughter,girl,saw,herself,The daughter that the girl liked saw herself . <eos>,The daughter that the girl liked saw herself .
16,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,saw,herself,The girls that the daughter liked saw herself . <eos>,The girls that the daughter liked saw herself .
16,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,saw,herself,The daughters that the girl liked saw herself . <eos>,The daughters that the girl liked saw herself .
16,simple,local,c-command,1,a,rc_subj,number,girl,daughters,saw,herself,The girl that the daughters liked saw herself . <eos>,The girl that the daughters liked saw herself .
16,simple,local,c-command,1,b,rc_subj,number,daughter,girls,saw,herself,The daughter that the girls liked saw herself . <eos>,The daughter that the girls liked saw herself .
17,simple,local,c-command,1,a,none,none,girl,daughter,established,herself,The girl that the daughter liked established herself . <eos>,The girl that the daughter liked established herself .
17,simple,local,c-command,1,b,none,none,daughter,girl,established,herself,The daughter that the girl liked established herself . <eos>,The daughter that the girl liked established herself .
17,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,established,herself,The girls that the daughter liked established herself . <eos>,The girls that the daughter liked established herself .
17,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,established,herself,The daughters that the girl liked established herself . <eos>,The daughters that the girl liked established herself .
17,simple,local,c-command,1,a,rc_subj,number,girl,daughters,established,herself,The girl that the daughters liked established herself . <eos>,The girl that the daughters liked established herself .
17,simple,local,c-command,1,b,rc_subj,number,daughter,girls,established,herself,The daughter that the girls liked established herself . <eos>,The daughter that the girls liked established herself .
18,simple,local,c-command,1,a,none,none,girl,daughter,devoted,herself,The girl that the daughter liked devoted herself . <eos>,The girl that the daughter liked devoted herself .
18,simple,local,c-command,1,b,none,none,daughter,girl,devoted,herself,The daughter that the girl liked devoted herself . <eos>,The daughter that the girl liked devoted herself .
18,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,devoted,herself,The girls that the daughter liked devoted herself . <eos>,The girls that the daughter liked devoted herself .
18,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,devoted,herself,The daughters that the girl liked devoted herself . <eos>,The daughters that the girl liked devoted herself .
18,simple,local,c-command,1,a,rc_subj,number,girl,daughters,devoted,herself,The girl that the daughters liked devoted herself . <eos>,The girl that the daughters liked devoted herself .
18,simple,local,c-command,1,b,rc_subj,number,daughter,girls,devoted,herself,The daughter that the girls liked devoted herself . <eos>,The daughter that the girls liked devoted herself .
19,simple,local,c-command,1,a,none,none,girl,daughter,considered,herself,The girl that the daughter liked considered herself . <eos>,The girl that the daughter liked considered herself .
19,simple,local,c-command,1,b,none,none,daughter,girl,considered,herself,The daughter that the girl liked considered herself . <eos>,The daughter that the girl liked considered herself .
19,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,considered,herself,The girls that the daughter liked considered herself . <eos>,The girls that the daughter liked considered herself .
19,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,considered,herself,The daughters that the girl liked considered herself . <eos>,The daughters that the girl liked considered herself .
19,simple,local,c-command,1,a,rc_subj,number,girl,daughters,considered,herself,The girl that the daughters liked considered herself . <eos>,The girl that the daughters liked considered herself .
19,simple,local,c-command,1,b,rc_subj,number,daughter,girls,considered,herself,The daughter that the girls liked considered herself . <eos>,The daughter that the girls liked considered herself .
20,simple,local,c-command,1,a,none,none,girl,daughter,identified,herself,The girl that the daughter liked identified herself . <eos>,The girl that the daughter liked identified herself .
20,simple,local,c-command,1,b,none,none,daughter,girl,identified,herself,The daughter that the girl liked identified herself . <eos>,The daughter that the girl liked identified herself .
20,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,identified,herself,The girls that the daughter liked identified herself . <eos>,The girls that the daughter liked identified herself .
20,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,identified,herself,The daughters that the girl liked identified herself . <eos>,The daughters that the girl liked identified herself .
20,simple,local,c-command,1,a,rc_subj,number,girl,daughters,identified,herself,The girl that the daughters liked identified herself . <eos>,The girl that the daughters liked identified herself .
20,simple,local,c-command,1,b,rc_subj,number,daughter,girls,identified,herself,The daughter that the girls liked identified herself . <eos>,The daughter that the girls liked identified herself .
21,simple,local,c-command,1,a,none,none,girl,daughter,made,herself,The girl that the daughter liked made herself . <eos>,The girl that the daughter liked made herself .
21,simple,local,c-command,1,b,none,none,daughter,girl,made,herself,The daughter that the girl liked made herself . <eos>,The daughter that the girl liked made herself .
21,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,made,herself,The girls that the daughter liked made herself . <eos>,The girls that the daughter liked made herself .
21,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,made,herself,The daughters that the girl liked made herself . <eos>,The daughters that the girl liked made herself .
21,simple,local,c-command,1,a,rc_subj,number,girl,daughters,made,herself,The girl that the daughters liked made herself . <eos>,The girl that the daughters liked made herself .
21,simple,local,c-command,1,b,rc_subj,number,daughter,girls,made,herself,The daughter that the girls liked made herself . <eos>,The daughter that the girls liked made herself .
22,simple,local,c-command,1,a,none,none,girl,daughter,found,herself,The girl that the daughter liked found herself . <eos>,The girl that the daughter liked found herself .
22,simple,local,c-command,1,b,none,none,daughter,girl,found,herself,The daughter that the girl liked found herself . <eos>,The daughter that the girl liked found herself .
22,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,found,herself,The girls that the daughter liked found herself . <eos>,The girls that the daughter liked found herself .
22,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,found,herself,The daughters that the girl liked found herself . <eos>,The daughters that the girl liked found herself .
22,simple,local,c-command,1,a,rc_subj,number,girl,daughters,found,herself,The girl that the daughters liked found herself . <eos>,The girl that the daughters liked found herself .
22,simple,local,c-command,1,b,rc_subj,number,daughter,girls,found,herself,The daughter that the girls liked found herself . <eos>,The daughter that the girls liked found herself .
23,simple,local,c-command,1,a,none,none,girl,daughter,distinguished,herself,The girl that the daughter liked distinguished herself . <eos>,The girl that the daughter liked distinguished herself .
23,simple,local,c-command,1,b,none,none,daughter,girl,distinguished,herself,The daughter that the girl liked distinguished herself . <eos>,The daughter that the girl liked distinguished herself .
23,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,distinguished,herself,The girls that the daughter liked distinguished herself . <eos>,The girls that the daughter liked distinguished herself .
23,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,distinguished,herself,The daughters that the girl liked distinguished herself . <eos>,The daughters that the girl liked distinguished herself .
23,simple,local,c-command,1,a,rc_subj,number,girl,daughters,distinguished,herself,The girl that the daughters liked distinguished herself . <eos>,The girl that the daughters liked distinguished herself .
23,simple,local,c-command,1,b,rc_subj,number,daughter,girls,distinguished,herself,The daughter that the girls liked distinguished herself . <eos>,The daughter that the girls liked distinguished herself .
24,simple,local,c-command,1,a,none,none,girl,daughter,taught,herself,The girl that the daughter liked taught herself . <eos>,The girl that the daughter liked taught herself .
24,simple,local,c-command,1,b,none,none,daughter,girl,taught,herself,The daughter that the girl liked taught herself . <eos>,The daughter that the girl liked taught herself .
24,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,taught,herself,The girls that the daughter liked taught herself . <eos>,The girls that the daughter liked taught herself .
24,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,taught,herself,The daughters that the girl liked taught herself . <eos>,The daughters that the girl liked taught herself .
24,simple,local,c-command,1,a,rc_subj,number,girl,daughters,taught,herself,The girl that the daughters liked taught herself . <eos>,The girl that the daughters liked taught herself .
24,simple,local,c-command,1,b,rc_subj,number,daughter,girls,taught,herself,The daughter that the girls liked taught herself . <eos>,The daughter that the girls liked taught herself .
25,simple,local,c-command,1,a,none,none,girl,daughter,killed,herself,The girl that the daughter liked killed herself . <eos>,The girl that the daughter liked killed herself .
