item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
51,embed,local,0,b,nonlocal_subj,number,actors,boy,made,him,The actors said that the boy made him . <eos>,The actors said that the boy made him .
51,embed,nonlocal,1,a,local_subj,number,boy,actors,made,him,The boy said that the actors made him . <eos>,The boy said that the actors made him .
51,embed,nonlocal,1,b,local_subj,number,actor,boys,made,him,The actor said that the boys made him . <eos>,The actor said that the boys made him .
52,embed,nonlocal,1,a,none,none,boy,actor,found,him,The boy said that the actor found him . <eos>,The boy said that the actor found him .
52,embed,nonlocal,1,b,none,none,actor,boy,found,him,The actor said that the boy found him . <eos>,The actor said that the boy found him .
52,embed,local,0,a,nonlocal_subj,number,boys,actor,found,him,The boys said that the actor found him . <eos>,The boys said that the actor found him .
52,embed,local,0,b,nonlocal_subj,number,actors,boy,found,him,The actors said that the boy found him . <eos>,The actors said that the boy found him .
52,embed,nonlocal,1,a,local_subj,number,boy,actors,found,him,The boy said that the actors found him . <eos>,The boy said that the actors found him .
52,embed,nonlocal,1,b,local_subj,number,actor,boys,found,him,The actor said that the boys found him . <eos>,The actor said that the boys found him .
53,embed,nonlocal,1,a,none,none,boy,actor,distinguished,him,The boy said that the actor distinguished him . <eos>,The boy said that the actor distinguished him .
53,embed,nonlocal,1,b,none,none,actor,boy,distinguished,him,The actor said that the boy distinguished him . <eos>,The actor said that the boy distinguished him .
53,embed,local,0,a,nonlocal_subj,number,boys,actor,distinguished,him,The boys said that the actor distinguished him . <eos>,The boys said that the actor distinguished him .
53,embed,local,0,b,nonlocal_subj,number,actors,boy,distinguished,him,The actors said that the boy distinguished him . <eos>,The actors said that the boy distinguished him .
53,embed,nonlocal,1,a,local_subj,number,boy,actors,distinguished,him,The boy said that the actors distinguished him . <eos>,The boy said that the actors distinguished him .
53,embed,nonlocal,1,b,local_subj,number,actor,boys,distinguished,him,The actor said that the boys distinguished him . <eos>,The actor said that the boys distinguished him .
54,embed,nonlocal,1,a,none,none,boy,actor,taught,him,The boy said that the actor taught him . <eos>,The boy said that the actor taught him .
54,embed,nonlocal,1,b,none,none,actor,boy,taught,him,The actor said that the boy taught him . <eos>,The actor said that the boy taught him .
54,embed,local,0,a,nonlocal_subj,number,boys,actor,taught,him,The boys said that the actor taught him . <eos>,The boys said that the actor taught him .
54,embed,local,0,b,nonlocal_subj,number,actors,boy,taught,him,The actors said that the boy taught him . <eos>,The actors said that the boy taught him .
54,embed,nonlocal,1,a,local_subj,number,boy,actors,taught,him,The boy said that the actors taught him . <eos>,The boy said that the actors taught him .
54,embed,nonlocal,1,b,local_subj,number,actor,boys,taught,him,The actor said that the boys taught him . <eos>,The actor said that the boys taught him .
55,embed,nonlocal,1,a,none,none,boy,actor,killed,him,The boy said that the actor killed him . <eos>,The boy said that the actor killed him .
55,embed,nonlocal,1,b,none,none,actor,boy,killed,him,The actor said that the boy killed him . <eos>,The actor said that the boy killed him .
55,embed,local,0,a,nonlocal_subj,number,boys,actor,killed,him,The boys said that the actor killed him . <eos>,The boys said that the actor killed him .
55,embed,local,0,b,nonlocal_subj,number,actors,boy,killed,him,The actors said that the boy killed him . <eos>,The actors said that the boy killed him .
55,embed,nonlocal,1,a,local_subj,number,boy,actors,killed,him,The boy said that the actors killed him . <eos>,The boy said that the actors killed him .
55,embed,nonlocal,1,b,local_subj,number,actor,boys,killed,him,The actor said that the boys killed him . <eos>,The actor said that the boys killed him .
56,embed,nonlocal,1,a,none,none,boy,actor,called,him,The boy said that the actor called him . <eos>,The boy said that the actor called him .
56,embed,nonlocal,1,b,none,none,actor,boy,called,him,The actor said that the boy called him . <eos>,The actor said that the boy called him .
56,embed,local,0,a,nonlocal_subj,number,boys,actor,called,him,The boys said that the actor called him . <eos>,The boys said that the actor called him .
56,embed,local,0,b,nonlocal_subj,number,actors,boy,called,him,The actors said that the boy called him . <eos>,The actors said that the boy called him .
56,embed,nonlocal,1,a,local_subj,number,boy,actors,called,him,The boy said that the actors called him . <eos>,The boy said that the actors called him .
56,embed,nonlocal,1,b,local_subj,number,actor,boys,called,him,The actor said that the boys called him . <eos>,The actor said that the boys called him .
57,embed,nonlocal,1,a,none,none,boy,actor,dedicated,him,The boy said that the actor dedicated him . <eos>,The boy said that the actor dedicated him .
57,embed,nonlocal,1,b,none,none,actor,boy,dedicated,him,The actor said that the boy dedicated him . <eos>,The actor said that the boy dedicated him .
57,embed,local,0,a,nonlocal_subj,number,boys,actor,dedicated,him,The boys said that the actor dedicated him . <eos>,The boys said that the actor dedicated him .
57,embed,local,0,b,nonlocal_subj,number,actors,boy,dedicated,him,The actors said that the boy dedicated him . <eos>,The actors said that the boy dedicated him .
57,embed,nonlocal,1,a,local_subj,number,boy,actors,dedicated,him,The boy said that the actors dedicated him . <eos>,The boy said that the actors dedicated him .
57,embed,nonlocal,1,b,local_subj,number,actor,boys,dedicated,him,The actor said that the boys dedicated him . <eos>,The actor said that the boys dedicated him .
58,embed,nonlocal,1,a,none,none,boy,actor,declared,him,The boy said that the actor declared him . <eos>,The boy said that the actor declared him .
58,embed,nonlocal,1,b,none,none,actor,boy,declared,him,The actor said that the boy declared him . <eos>,The actor said that the boy declared him .
58,embed,local,0,a,nonlocal_subj,number,boys,actor,declared,him,The boys said that the actor declared him . <eos>,The boys said that the actor declared him .
58,embed,local,0,b,nonlocal_subj,number,actors,boy,declared,him,The actors said that the boy declared him . <eos>,The actors said that the boy declared him .
58,embed,nonlocal,1,a,local_subj,number,boy,actors,declared,him,The boy said that the actors declared him . <eos>,The boy said that the actors declared him .
58,embed,nonlocal,1,b,local_subj,number,actor,boys,declared,him,The actor said that the boys declared him . <eos>,The actor said that the boys declared him .
59,embed,nonlocal,1,a,none,none,boy,actor,proved,him,The boy said that the actor proved him . <eos>,The boy said that the actor proved him .
59,embed,nonlocal,1,b,none,none,actor,boy,proved,him,The actor said that the boy proved him . <eos>,The actor said that the boy proved him .
59,embed,local,0,a,nonlocal_subj,number,boys,actor,proved,him,The boys said that the actor proved him . <eos>,The boys said that the actor proved him .
59,embed,local,0,b,nonlocal_subj,number,actors,boy,proved,him,The actors said that the boy proved him . <eos>,The actors said that the boy proved him .
59,embed,nonlocal,1,a,local_subj,number,boy,actors,proved,him,The boy said that the actors proved him . <eos>,The boy said that the actors proved him .
59,embed,nonlocal,1,b,local_subj,number,actor,boys,proved,him,The actor said that the boys proved him . <eos>,The actor said that the boys proved him .
60,embed,nonlocal,1,a,none,none,boy,actor,shot,him,The boy said that the actor shot him . <eos>,The boy said that the actor shot him .
60,embed,nonlocal,1,b,none,none,actor,boy,shot,him,The actor said that the boy shot him . <eos>,The actor said that the boy shot him .
60,embed,local,0,a,nonlocal_subj,number,boys,actor,shot,him,The boys said that the actor shot him . <eos>,The boys said that the actor shot him .
60,embed,local,0,b,nonlocal_subj,number,actors,boy,shot,him,The actors said that the boy shot him . <eos>,The actors said that the boy shot him .
60,embed,nonlocal,1,a,local_subj,number,boy,actors,shot,him,The boy said that the actors shot him . <eos>,The boy said that the actors shot him .
60,embed,nonlocal,1,b,local_subj,number,actor,boys,shot,him,The actor said that the boys shot him . <eos>,The actor said that the boys shot him .
61,embed,nonlocal,1,a,none,none,boy,husband,saw,him,The boy said that the husband saw him . <eos>,The boy said that the husband saw him .
61,embed,nonlocal,1,b,none,none,husband,boy,saw,him,The husband said that the boy saw him . <eos>,The husband said that the boy saw him .
61,embed,local,0,a,nonlocal_subj,number,boys,husband,saw,him,The boys said that the husband saw him . <eos>,The boys said that the husband saw him .
61,embed,local,0,b,nonlocal_subj,number,husbands,boy,saw,him,The husbands said that the boy saw him . <eos>,The husbands said that the boy saw him .
61,embed,nonlocal,1,a,local_subj,number,boy,husbands,saw,him,The boy said that the husbands saw him . <eos>,The boy said that the husbands saw him .
61,embed,nonlocal,1,b,local_subj,number,husband,boys,saw,him,The husband said that the boys saw him . <eos>,The husband said that the boys saw him .
62,embed,nonlocal,1,a,none,none,boy,husband,established,him,The boy said that the husband established him . <eos>,The boy said that the husband established him .
62,embed,nonlocal,1,b,none,none,husband,boy,established,him,The husband said that the boy established him . <eos>,The husband said that the boy established him .
62,embed,local,0,a,nonlocal_subj,number,boys,husband,established,him,The boys said that the husband established him . <eos>,The boys said that the husband established him .
62,embed,local,0,b,nonlocal_subj,number,husbands,boy,established,him,The husbands said that the boy established him . <eos>,The husbands said that the boy established him .
62,embed,nonlocal,1,a,local_subj,number,boy,husbands,established,him,The boy said that the husbands established him . <eos>,The boy said that the husbands established him .
62,embed,nonlocal,1,b,local_subj,number,husband,boys,established,him,The husband said that the boys established him . <eos>,The husband said that the boys established him .
63,embed,nonlocal,1,a,none,none,boy,husband,devoted,him,The boy said that the husband devoted him . <eos>,The boy said that the husband devoted him .
63,embed,nonlocal,1,b,none,none,husband,boy,devoted,him,The husband said that the boy devoted him . <eos>,The husband said that the boy devoted him .
63,embed,local,0,a,nonlocal_subj,number,boys,husband,devoted,him,The boys said that the husband devoted him . <eos>,The boys said that the husband devoted him .
63,embed,local,0,b,nonlocal_subj,number,husbands,boy,devoted,him,The husbands said that the boy devoted him . <eos>,The husbands said that the boy devoted him .
63,embed,nonlocal,1,a,local_subj,number,boy,husbands,devoted,him,The boy said that the husbands devoted him . <eos>,The boy said that the husbands devoted him .
63,embed,nonlocal,1,b,local_subj,number,husband,boys,devoted,him,The husband said that the boys devoted him . <eos>,The husband said that the boys devoted him .
64,embed,nonlocal,1,a,none,none,boy,husband,considered,him,The boy said that the husband considered him . <eos>,The boy said that the husband considered him .
64,embed,nonlocal,1,b,none,none,husband,boy,considered,him,The husband said that the boy considered him . <eos>,The husband said that the boy considered him .
64,embed,local,0,a,nonlocal_subj,number,boys,husband,considered,him,The boys said that the husband considered him . <eos>,The boys said that the husband considered him .
64,embed,local,0,b,nonlocal_subj,number,husbands,boy,considered,him,The husbands said that the boy considered him . <eos>,The husbands said that the boy considered him .
64,embed,nonlocal,1,a,local_subj,number,boy,husbands,considered,him,The boy said that the husbands considered him . <eos>,The boy said that the husbands considered him .
64,embed,nonlocal,1,b,local_subj,number,husband,boys,considered,him,The husband said that the boys considered him . <eos>,The husband said that the boys considered him .
65,embed,nonlocal,1,a,none,none,boy,husband,identified,him,The boy said that the husband identified him . <eos>,The boy said that the husband identified him .
65,embed,nonlocal,1,b,none,none,husband,boy,identified,him,The husband said that the boy identified him . <eos>,The husband said that the boy identified him .
65,embed,local,0,a,nonlocal_subj,number,boys,husband,identified,him,The boys said that the husband identified him . <eos>,The boys said that the husband identified him .
65,embed,local,0,b,nonlocal_subj,number,husbands,boy,identified,him,The husbands said that the boy identified him . <eos>,The husbands said that the boy identified him .
65,embed,nonlocal,1,a,local_subj,number,boy,husbands,identified,him,The boy said that the husbands identified him . <eos>,The boy said that the husbands identified him .
65,embed,nonlocal,1,b,local_subj,number,husband,boys,identified,him,The husband said that the boys identified him . <eos>,The husband said that the boys identified him .
66,embed,nonlocal,1,a,none,none,boy,husband,made,him,The boy said that the husband made him . <eos>,The boy said that the husband made him .
66,embed,nonlocal,1,b,none,none,husband,boy,made,him,The husband said that the boy made him . <eos>,The husband said that the boy made him .
66,embed,local,0,a,nonlocal_subj,number,boys,husband,made,him,The boys said that the husband made him . <eos>,The boys said that the husband made him .
66,embed,local,0,b,nonlocal_subj,number,husbands,boy,made,him,The husbands said that the boy made him . <eos>,The husbands said that the boy made him .
66,embed,nonlocal,1,a,local_subj,number,boy,husbands,made,him,The boy said that the husbands made him . <eos>,The boy said that the husbands made him .
66,embed,nonlocal,1,b,local_subj,number,husband,boys,made,him,The husband said that the boys made him . <eos>,The husband said that the boys made him .
67,embed,nonlocal,1,a,none,none,boy,husband,found,him,The boy said that the husband found him . <eos>,The boy said that the husband found him .
67,embed,nonlocal,1,b,none,none,husband,boy,found,him,The husband said that the boy found him . <eos>,The husband said that the boy found him .
67,embed,local,0,a,nonlocal_subj,number,boys,husband,found,him,The boys said that the husband found him . <eos>,The boys said that the husband found him .
67,embed,local,0,b,nonlocal_subj,number,husbands,boy,found,him,The husbands said that the boy found him . <eos>,The husbands said that the boy found him .
67,embed,nonlocal,1,a,local_subj,number,boy,husbands,found,him,The boy said that the husbands found him . <eos>,The boy said that the husbands found him .
67,embed,nonlocal,1,b,local_subj,number,husband,boys,found,him,The husband said that the boys found him . <eos>,The husband said that the boys found him .
68,embed,nonlocal,1,a,none,none,boy,husband,distinguished,him,The boy said that the husband distinguished him . <eos>,The boy said that the husband distinguished him .
68,embed,nonlocal,1,b,none,none,husband,boy,distinguished,him,The husband said that the boy distinguished him . <eos>,The husband said that the boy distinguished him .
68,embed,local,0,a,nonlocal_subj,number,boys,husband,distinguished,him,The boys said that the husband distinguished him . <eos>,The boys said that the husband distinguished him .
68,embed,local,0,b,nonlocal_subj,number,husbands,boy,distinguished,him,The husbands said that the boy distinguished him . <eos>,The husbands said that the boy distinguished him .
68,embed,nonlocal,1,a,local_subj,number,boy,husbands,distinguished,him,The boy said that the husbands distinguished him . <eos>,The boy said that the husbands distinguished him .
68,embed,nonlocal,1,b,local_subj,number,husband,boys,distinguished,him,The husband said that the boys distinguished him . <eos>,The husband said that the boys distinguished him .
69,embed,nonlocal,1,a,none,none,boy,husband,taught,him,The boy said that the husband taught him . <eos>,The boy said that the husband taught him .
69,embed,nonlocal,1,b,none,none,husband,boy,taught,him,The husband said that the boy taught him . <eos>,The husband said that the boy taught him .
69,embed,local,0,a,nonlocal_subj,number,boys,husband,taught,him,The boys said that the husband taught him . <eos>,The boys said that the husband taught him .
69,embed,local,0,b,nonlocal_subj,number,husbands,boy,taught,him,The husbands said that the boy taught him . <eos>,The husbands said that the boy taught him .
69,embed,nonlocal,1,a,local_subj,number,boy,husbands,taught,him,The boy said that the husbands taught him . <eos>,The boy said that the husbands taught him .
69,embed,nonlocal,1,b,local_subj,number,husband,boys,taught,him,The husband said that the boys taught him . <eos>,The husband said that the boys taught him .
70,embed,nonlocal,1,a,none,none,boy,husband,killed,him,The boy said that the husband killed him . <eos>,The boy said that the husband killed him .
70,embed,nonlocal,1,b,none,none,husband,boy,killed,him,The husband said that the boy killed him . <eos>,The husband said that the boy killed him .
70,embed,local,0,a,nonlocal_subj,number,boys,husband,killed,him,The boys said that the husband killed him . <eos>,The boys said that the husband killed him .
70,embed,local,0,b,nonlocal_subj,number,husbands,boy,killed,him,The husbands said that the boy killed him . <eos>,The husbands said that the boy killed him .
70,embed,nonlocal,1,a,local_subj,number,boy,husbands,killed,him,The boy said that the husbands killed him . <eos>,The boy said that the husbands killed him .
70,embed,nonlocal,1,b,local_subj,number,husband,boys,killed,him,The husband said that the boys killed him . <eos>,The husband said that the boys killed him .
71,embed,nonlocal,1,a,none,none,boy,husband,called,him,The boy said that the husband called him . <eos>,The boy said that the husband called him .
71,embed,nonlocal,1,b,none,none,husband,boy,called,him,The husband said that the boy called him . <eos>,The husband said that the boy called him .
71,embed,local,0,a,nonlocal_subj,number,boys,husband,called,him,The boys said that the husband called him . <eos>,The boys said that the husband called him .
71,embed,local,0,b,nonlocal_subj,number,husbands,boy,called,him,The husbands said that the boy called him . <eos>,The husbands said that the boy called him .
71,embed,nonlocal,1,a,local_subj,number,boy,husbands,called,him,The boy said that the husbands called him . <eos>,The boy said that the husbands called him .
71,embed,nonlocal,1,b,local_subj,number,husband,boys,called,him,The husband said that the boys called him . <eos>,The husband said that the boys called him .
72,embed,nonlocal,1,a,none,none,boy,husband,dedicated,him,The boy said that the husband dedicated him . <eos>,The boy said that the husband dedicated him .
72,embed,nonlocal,1,b,none,none,husband,boy,dedicated,him,The husband said that the boy dedicated him . <eos>,The husband said that the boy dedicated him .
72,embed,local,0,a,nonlocal_subj,number,boys,husband,dedicated,him,The boys said that the husband dedicated him . <eos>,The boys said that the husband dedicated him .
72,embed,local,0,b,nonlocal_subj,number,husbands,boy,dedicated,him,The husbands said that the boy dedicated him . <eos>,The husbands said that the boy dedicated him .
72,embed,nonlocal,1,a,local_subj,number,boy,husbands,dedicated,him,The boy said that the husbands dedicated him . <eos>,The boy said that the husbands dedicated him .
72,embed,nonlocal,1,b,local_subj,number,husband,boys,dedicated,him,The husband said that the boys dedicated him . <eos>,The husband said that the boys dedicated him .
73,embed,nonlocal,1,a,none,none,boy,husband,declared,him,The boy said that the husband declared him . <eos>,The boy said that the husband declared him .
73,embed,nonlocal,1,b,none,none,husband,boy,declared,him,The husband said that the boy declared him . <eos>,The husband said that the boy declared him .
73,embed,local,0,a,nonlocal_subj,number,boys,husband,declared,him,The boys said that the husband declared him . <eos>,The boys said that the husband declared him .
73,embed,local,0,b,nonlocal_subj,number,husbands,boy,declared,him,The husbands said that the boy declared him . <eos>,The husbands said that the boy declared him .
73,embed,nonlocal,1,a,local_subj,number,boy,husbands,declared,him,The boy said that the husbands declared him . <eos>,The boy said that the husbands declared him .
73,embed,nonlocal,1,b,local_subj,number,husband,boys,declared,him,The husband said that the boys declared him . <eos>,The husband said that the boys declared him .
74,embed,nonlocal,1,a,none,none,boy,husband,proved,him,The boy said that the husband proved him . <eos>,The boy said that the husband proved him .
74,embed,nonlocal,1,b,none,none,husband,boy,proved,him,The husband said that the boy proved him . <eos>,The husband said that the boy proved him .
74,embed,local,0,a,nonlocal_subj,number,boys,husband,proved,him,The boys said that the husband proved him . <eos>,The boys said that the husband proved him .
74,embed,local,0,b,nonlocal_subj,number,husbands,boy,proved,him,The husbands said that the boy proved him . <eos>,The husbands said that the boy proved him .
74,embed,nonlocal,1,a,local_subj,number,boy,husbands,proved,him,The boy said that the husbands proved him . <eos>,The boy said that the husbands proved him .
74,embed,nonlocal,1,b,local_subj,number,husband,boys,proved,him,The husband said that the boys proved him . <eos>,The husband said that the boys proved him .
75,embed,nonlocal,1,a,none,none,boy,husband,shot,him,The boy said that the husband shot him . <eos>,The boy said that the husband shot him .
75,embed,nonlocal,1,b,none,none,husband,boy,shot,him,The husband said that the boy shot him . <eos>,The husband said that the boy shot him .
75,embed,local,0,a,nonlocal_subj,number,boys,husband,shot,him,The boys said that the husband shot him . <eos>,The boys said that the husband shot him .
75,embed,local,0,b,nonlocal_subj,number,husbands,boy,shot,him,The husbands said that the boy shot him . <eos>,The husbands said that the boy shot him .
75,embed,nonlocal,1,a,local_subj,number,boy,husbands,shot,him,The boy said that the husbands shot him . <eos>,The boy said that the husbands shot him .
75,embed,nonlocal,1,b,local_subj,number,husband,boys,shot,him,The husband said that the boys shot him . <eos>,The husband said that the boys shot him .